"id","product_full_name","product_fabric_icon_1","slug_fabric_icon_1","product_fabric_icon_2","slug_fabric_icon_2","product_fabric_icon_3","slug_fabric_icon_3","product_fabric_icon_4","slug_fabric_icon_4","product_fabric_icon_5","slug_fabric_icon_5","show_on_category_page","popular","is_new","available_for_delivery_2","available_for_delivery_28","available_in_showroom","product_img","description","price","closeup","width","depth","height","pdf","product_inside","product_inside_pillow","carcas_type","paws_type","mechanism_type","sleep_place","linen_drawer","scheme","features","created","updated","product_slug","category_id","collection_id","fabric_name_id","popover_id","slider_interior_id","carousel_item_1","carousel_item_2","carousel_item_3","carousel_item_4","carousel_item_5","carousel_item_mob_1","carousel_item_mob_2","carousel_item_mob_3","carousel_item_mob_4","carousel_item_mob_5","price_old","popover_img","carousel_item_6","carousel_item_mob_6","product_img_mob","show_fabric_icons","d3","id;product_full_name;product_fabric_icon_1;slug_fabric_icon_1;p"
110,Угловой диван Denver,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_32.png,velutto-32,true,true,true,true,true,true,images/DENVER_CORNER_L_3M_ST_CORS0_08_GOODS_01.png,Угловой диван Denver станет стильным акцентом в интерьере,100000,closeups/DENVER_CORNER_L_3M_ST_CORS0_08_CLOSEUP.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"1",Ортопедические свойства,2024-03-20 00:26:18.854 +0300,2024-04-02 17:43:27.659 +0300,denver-cornerl-corso-08,3,11,8,2,4,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_01.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_02.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_03.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_04.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_05.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_MOB_01.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_MOB_02.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_MOB_03.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_MOB_04.jpg,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_MOB_05.jpg,,carousel/DENVER_CORNER_L_3M_ST_CORS0_08_CARD_MOB_02.jpg,"","",images/DENVER_CORNER_L_3M_ST_CORS0_08_GOODS_01.png,true,"","1"
38,Модульная система Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_MOD_1_VELUTTO_04_GOODS_01.png,"Consono  — модульная система, представляющая собой идеальное сочетание комфорта, стиля и функциональности.
Одним из  главных преимуществ является использование пух-перо в качестве наполнителя подушек, что создает максимальную мягкость и удобство для отдыха.

В составе дивана применяется инновационный материал  Elax, который обладает высокой эластичностью. Благодаря этому материалу диван Consono не только комфортен, но и обладает долговечностью, сохраняя свою форму и внешний вид долгие годы.

Высокие, литые, металлические опоры придают изделию особую легкость и элегантность, создают современный и стильный вид, позволяют  использовать робот-пылесос.

Механизмы трансформации спинки позволяют каждому пользователю настроить диван под свои индивидуальные предпочтения.",234652,closeups/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"1","Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-04-02 18:24:25.232 +0300,consono-mod1-velutto-04,5,1,9,2,2,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_01.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_02.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_03.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_04.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_05.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_01.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_02.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_03.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_04.jpg,carousel/CONSONO_MOD_1_VELUTTO_04_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,"","",images/CONSONO_MOD_1_VELUTTO_04_GOODS_02.png,true,"3d/CONSONO_MOD_1_MAX2018.zip","1"
65,Модульная система Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,"","",true,false,true,true,true,true,images/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_GOODS_01.png,"Elementa – универсальная модульная система, позволяющая скомпоновать множество конфигураций: от небольшого дивана-кровати до свободно стоящего модульного дивана, включающего столики, оттоманки и модули увеличенной глубины. Сдержанный, лаконичный дизайн подходит для различных интерьеров. В диван входит модуль EL2-202, оснащенный механизмом трансформации, который образует спальное место размером",291620,closeups/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CLOSEUP.jpg,250,106,80,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,Пантограф,да,нет,NULL,Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-mod1-kilian-01,5,3,7,2,2,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_01.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_02.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_03.jpg,"","",carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_01.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_02.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_03.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_04.jpg,"",,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_01.jpg,"","",images/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_GOODS_01.png,true,"","1"
83,Прямой диван Formeto,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/VELUTTO_16.png,velutto-16,"","",true,true,true,true,true,true,images/FORMETO_SOFA_2M_ST_KILLIAN_01_GOODS_01.png,"Коллекция Formeto – это идеальное решение для тех, кто ценит комфорт и функциональность. Наклонные подлокотники и мягкая начинка обеспечивают максимальный комфорт во время отдыха или чтения. Бельевые ящики позволяют хранить постельное белье и другие вещи. Металлические ножки добавляют лёгкости и стильности дизайну. Декоративный кант придает дивану изысканный вид.",118779,closeups/FORMETO_SOFA_KILLIAN_01_CLOSEUP.jpg,240,86,103,pdf/FORMETO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,да,да,да,NULL,Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,formeto-sofa_2m_st-kilian-01,10,7,7,2,2,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_01.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_02.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_03.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_04.jpg,"",carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_01.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_02.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_03.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_05.jpg,,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_01.jpg,"","",images/FORMETO_SOFA_2M_ST_KILLIAN_01_GOODS_01.png,true,"","1"
80,Угловой диван Formeto,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/VELUTTO_16.png,velutto-16,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/FORMETO_CORNER_PIXEL_FOREST_TYPE_01.png,"Коллекция Formeto – это идеальное решение для тех, кто ценит комфорт и функциональность. Наклонные подлокотники и мягкая начинка обеспечивают максимальный комфорт во время отдыха или чтения. Бельевые ящики позволяют хранить постельное белье и другие вещи. Металлические ножки добавляют лёгкости и стильности дизайну. Декоративный кант придает дивану изысканный вид.",180762,closeups/FORMETO_CORNER_PIXEL_FOREST_CLOSEUP.jpg,257,86,178,pdf/FORMETO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,да,да,да,NULL,Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,formeto-cornerl-pixel-forest,3,7,4,2,2,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_01.jpg,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_02.jpg,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_03.jpg,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_04.jpg,"",carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_MOB_01.jpg,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_MOB_02.jpg,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_MOB_03.jpg,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_MOB_04.jpg,"",,carousel/FORMETO_CORNER_PIXEL_FOREST_CARD_01.jpg,"","",images/FORMETO_CORNER_PIXEL_FOREST_TYPE_01.png,true,"","1"
122,Прямой диван Modifica,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_16.png,velutto-16,true,true,true,true,true,true,images/MODIFICA_SOFA_2M_ST_KILLIAN_01_GOODS_01.png,Уютный диван,100000,closeups/MODIFICA_SOFA_2M_ST_JAZZ_01_CLOSEUP.jpg,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,NULL,Ортопедические свойства,2024-03-20 01:26:18.854 +0300,2024-03-20 01:26:18.854 +0300,modifica-sofa_2m_st-kilian-01,10,9,7,2,2,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_01.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_02.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_03.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_04.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_05.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_MOB_01.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_MOB_02.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_MOB_03.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_MOB_04.jpg,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_MOB_05.jpg,,carousel/MODIFICA_SOFA_2M_ST_KILLIAN_01_CARD_02.jpg,"","",images/MODIFICA_SOFA_2M_ST_KILLIAN_01_GOODS_01.png,true,"","1"
119,Угловой диван Marselle,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_32.png,velutto-32,true,true,true,true,true,true,images/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_GOODS_01.png,Угловой диван Marselle станет стильным акцентом в интерьере,100000,closeups/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CLOSEUP.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,NULL,Ортопедические свойства,2024-03-20 01:26:18.854 +0300,2024-03-20 01:26:18.854 +0300,marselle-cornerl-velutto-32,3,12,5,2,2,carousel/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CARD_01.jpg,carousel/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CARD_02.jpg,carousel/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CARD_03.jpg,"","",carousel/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_01.jpg,carousel/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_02.jpg,carousel/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_03.jpg,"","",,carousel/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_CARD_02.jpg,"","",images/MARSELLE_CORNER_L_3M_ST_VELUTTO_32_GOODS_01.png,true,"","1"
85,Прямой диван Formeto,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/VELUTTO_16.png,velutto-16,"","",true,false,true,true,true,true,images/FORMETO_SOFA_2M_ST_PIXEL_FOREST_GOODS_01.png,"Коллекция Formeto – это идеальное решение для тех, кто ценит комфорт и функциональность. Наклонные подлокотники и мягкая начинка обеспечивают максимальный комфорт во время отдыха или чтения. Бельевые ящики позволяют хранить постельное белье и другие вещи. Металлические ножки добавляют лёгкости и стильности дизайну. Декоративный кант придает дивану изысканный вид.",118779,closeups/FORMETO_SOFA_VELUTTO_16_CLOSEUP.jpg,240,86,103,pdf/FORMETO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,да,да,да,NULL,Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,formeto-sofa_2m_st-velutto-16,10,7,11,2,2,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_01.jpg,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_02.jpg,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_03.jpg,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_04.jpg,"",carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_MOB_01.jpg,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_MOB_02.jpg,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_MOB_03.jpg,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_05.jpg,,carousel/FORMETO_SOFA_2M_VELUTTO_16_CARD_01.jpg,"","",images/FORMETO_SOFA_2M_ST_PIXEL_FOREST_GOODS_01.png,true,"","1"
89,Прямой диван Sempero,fabric_icons/CORSO_08.png,corso-08,fabric_icons/LEATHER_BLACK.png,leather-black,fabric_icons/LEATHER_BROWN.png,leather-brown,fabric_icons/VELUTTO_16.png,velutto-16,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/SEMPERO_SOFA_3M_ST_VELUTTO_16_GOODS_01.png,"Sempero – это строгий и функциональный диван. Инновационная система аммортизации, механизм трансформации в кровать ""Пантограф"" и отсек для хранения белья. Небольшой габарит позволяет разместить в любое пространство. Выбирайте черные литые металлические ножки или замените на г-образные или хромированные наклонные. Sempero – это диван, который станет украшением вашей гостиной.",118632,closeups/SEMPERO_SOFA_3M_ST_VELUTTO_16_CLOSEUP.jpg,226,92,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,Пантограф,да,да,NULL,Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,sempero-sofa_3m_st-velutto-16,12,8,11,2,2,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_01.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_02.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_03.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_04.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_05.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_MOB_01.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_MOB_02.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_MOB_03.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_MOB_05.jpg,,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_01.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_06.jpg,carousel/SEMPERO_SOFA_3M_ST_VELUTTO_16_CARD_MOB_06.jpg,images/SEMPERO_SOFA_3M_ST_VELUTTO_16_GOODS_01.png,true,"","1"
125,Угловой диван Modifica,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_16.png,velutto-16,true,true,true,true,true,true,images/MODIFICA_CORNER_R_CORS0_08_GOODS_01.png,Уютный диван,100000,closeups/MODIFICA_CORNER_R_CORS0_08_CLOSEUP.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"1",Ортопедические свойства,2024-03-20 01:26:18.854 +0300,2024-03-20 01:26:18.854 +0300,modifica-corner_r-corso-08,16,9,8,2,2,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_01.jpg,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_02.jpg,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_03.jpg,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_04.jpg,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_05.jpg,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_MOB_01.jpg,carousel/MODIFICA_CORNER_L_3M_ST_CORS0_08_CARD_MOB_02.jpg,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_MOB_03.jpg,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_MOB_04.jpg,"",,carousel/MODIFICA_CORNER_R_3M_ST_CORS0_08_CARD_02.jpg,"","",images/MODIFICA_CORNER_R_CORS0_08_GOODS_01.png,true,"","1"
67,Пуф Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/ELEMENTA_POUF_M_CORS0_08_GOODS_02.png,"Elementa – универсальная модульная система, позволяющая скомпоновать множество конфигураций: от небольшого дивана-кровати до свободно стоящего модульного дивана, включающего столики, оттоманки и модули увеличенной глубины. Сдержанный, лаконичный дизайн подходит для различных интерьеров. В диван входит модуль EL2-202, оснащенный механизмом трансформации, который образует спальное место размером",20000,closeups/ELEMENTA_POUF_M_CORS0_08_CLOSEUP.jpg,20,20,20,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"1",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-poufl-corso-08,6,3,8,2,2,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_01.jpg,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_02.jpg,"","","",carousel/ELEMENTA_POUF_M_CORS0_08_CARD_MOB_01.jpg,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_MOB_02.jpg,"","","",,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_01.jpg,"","",images/ELEMENTA_POUF_M_CORS0_08_GOODS_01.png,true,"","1"
29,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_CORSO_08_GOODS_01.png,"Consono  — модульная система, представляющая собой идеальное сочетание комфорта, стиля и функциональности.
Одним из  главных преимуществ является использование пух-перо в качестве наполнителя подушек, что создает максимальную мягкость и удобство для отдыха.

В составе дивана применяется инновационный материал  Elax, который обладает высокой эластичностью. Благодаря этому материалу диван Consono не только комфортен, но и обладает долговечностью, сохраняя свою форму и внешний вид долгие годы.

Высокие, литые, металлические опоры придают изделию особую легкость и элегантность, создают современный и стильный вид, позволяют  использовать робот-пылесос.

Механизмы трансформации спинки позволяют каждому пользователю настроить диван под свои индивидуальные предпочтения.",186233,closeups/CONSONO_CORNER_ST_LEFT_CORSO_08_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"1","Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-04-02 17:10:40.986 +0300,consono-cornerl-corso-08,3,1,8,2,2,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,"","",images/CONSONO_CORNER_ST_LEFT_CORSO_08_GOODS_02.png,true,"3d/CONSONO_CORNER_ST_LEFT_MAX2018.zip","1"
108,Прямой диван Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_20.png,jazz-20,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,true,true,true,true,true,images/ELEMENTA_SOFA_2M_ST_VELUTTO_32_GOODS_01.png,"Elementa – универсальная модульная система, позволяющая скомпоновать множество конфигураций: от небольшого дивана-кровати до свободно стоящего модульного дивана, включающего столики, оттоманки и модули увеличенной глубины. Сдержанный, лаконичный дизайн подходит для различных интерьеров. В диван входит модуль EL2-202, оснащенный механизмом трансформации, который образует спальное место размером",121474,closeups/ELEMENTA_SOFA_2M_ST_VELUTTO_32_CLOSEUP.png,250,106,80,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"1",Ортопедические свойства,2024-03-19 23:56:18.854 +0300,2024-03-19 23:56:18.854 +0300,elementa-sofa_2m_st-teddy-917,10,3,16,2,2,carousel/ELEMENTA_SOFA_2M_TEDDY_917_CARD_01.jpg,carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_02.jpg,carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_03.jpg,carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_04.jpg,"",carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_MOB_01.jpg,carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_MOB_02.jpg,carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_MOB_03.jpg,carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_MOB_04.jpg,"",,carousel/ELEMENTA_SOFA_2M_ST_TEDDY_917_CARD_02.jpg,"","",images/ELEMENTA_SOFA_2M_ST_VELUTTO_32_GOODS_01.png,true,"","1"
82,Прямой диван Formeto,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/VELUTTO_16.png,velutto-16,"","",true,false,true,true,true,true,images/FORMETO_SOFA_2M_ST_CORS0_08_GOODS_01.png,"Коллекция Formeto – это идеальное решение для тех, кто ценит комфорт и функциональность. Наклонные подлокотники и мягкая начинка обеспечивают максимальный комфорт во время отдыха или чтения. Бельевые ящики позволяют хранить постельное белье и другие вещи. Металлические ножки добавляют лёгкости и стильности дизайну. Декоративный кант придает дивану изысканный вид.",118779,closeups/FORMETO_SOFA_CORS0_08_CLOSEUP.jpg,240,86,103,pdf/FORMETO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,да,да,да,NULL,Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,formeto-sofa_2m_st-corso-08,10,7,8,2,2,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_01.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_02.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_03.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_04.jpg,"",carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_01.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_02.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_03.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_05.jpg,,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_01.jpg,"","",images/FORMETO_SOFA_2M_ST_CORS0_08_GOODS_01.png,true,"","1"
